"win","is_home","runs_scored","runs_allowed","run_diff","early_runs","middle_runs","late_runs","scored_first","led_after_3","led_after_6","AB","H","BB","SO","double","triple","HR","extra_base_hits","power_score","run_per_hit","offense_pressure_score","innings_pitched","hits_allowed","bb_allowed","hr_allowed","so_pitched","whip_like","strikeout_walk_ratio","run_prevention_score"
"win","home",5,4,1,0,1,2,"no","no","no",35,11,6,5,3,1,1,5,8,0.454545454545455,13.5,10,5,2,0,6,0.7,3,0
"loss","away",4,5,-1,3,0,0,"yes","yes","yes",32,5,2,6,2,0,0,2,2,0.8,5,9.33333333333333,11,6,1,5,1.82142857142857,0.833333333333333,-7
"win","away",5,0,5,4,0,1,"yes","yes","yes",31,8,9,5,2,0,0,2,2,0.625,13.5,9,5,3,0,6,0.888888888888889,2,3
"loss","home",0,5,-5,0,0,0,"no","no","no",31,5,3,6,1,0,0,1,1,0,1,9,8,9,0,5,1.88888888888889,0.555555555555556,-9
"loss","away",0,4,-4,0,0,0,"no","no","no",30,4,1,5,0,0,0,0,0,0,-1.5,8,7,4,0,7,1.375,1.75,-1
"win","home",4,0,4,4,0,0,"yes","yes","yes",30,7,4,7,0,2,0,2,4,0.571428571428571,6.5,9,4,1,0,5,0.555555555555556,5,4
"win","away",6,3,3,0,3,3,"yes","no","yes",36,9,9,6,0,0,1,1,3,0.666666666666667,13,9,8,3,0,15,1.22222222222222,5,9
"loss","home",3,6,-3,0,1,2,"no","no","no",34,8,3,15,3,0,0,3,3,0.375,1.5,9,9,9,1,6,2,0.666666666666667,-10
"loss","away",8,9,-1,1,5,2,"no","no","yes",35,10,7,14,3,1,0,4,5,0.8,12,8.33333333333333,15,6,0,5,2.52,0.833333333333333,-10
"win","home",9,8,1,3,0,6,"yes","yes","no",37,15,6,5,6,0,0,6,6,0.6,18.5,9,10,7,0,14,1.88888888888889,2,-1
"loss","away",1,4,-3,1,0,0,"no","no","no",26,3,4,6,0,0,1,1,3,0.333333333333333,3,8,10,1,1,3,1.375,3,-3
"win","home",4,1,3,2,0,2,"yes","yes","yes",32,10,1,3,1,1,1,3,6,0.4,6.5,9,3,4,1,6,0.777777777777778,1.5,0
"loss","away",0,6,-6,0,0,0,"no","no","no",29,3,3,6,0,0,0,0,0,0,0,8,13,3,1,8,2,2.66666666666667,-2
"win","home",6,0,6,4,1,1,"yes","yes","yes",35,13,3,8,0,0,1,1,3,0.461538461538462,6,9,3,3,0,6,0.666666666666667,2,3
"win","away",4,2,2,3,1,0,"no","yes","yes",34,7,3,5,2,1,1,4,7,0.571428571428571,8.5,9,6,2,1,4,0.888888888888889,2,-1
"loss","home",2,4,-2,1,0,1,"no","no","no",31,6,2,4,2,0,1,3,5,0.333333333333333,5,9,7,3,1,5,1.11111111111111,1.66666666666667,-3
"loss","away",1,3,-2,1,0,0,"yes","yes","no",33,6,2,9,1,0,0,1,1,0.166666666666667,-0.5,8,8,2,0,5,1.25,2.5,0
"win","home",3,1,2,0,1,2,"no","no","no",29,8,2,5,0,0,0,0,0,0.375,2.5,9,6,2,0,9,0.888888888888889,4.5,6
"loss","home",8,12,-4,0,5,3,"no","no","no",39,13,1,5,4,0,0,4,4,0.615384615384615,10.5,9,16,2,1,9,2,4.5,-6
"win","away",12,8,4,4,6,2,"yes","yes","yes",41,16,2,9,3,0,1,4,6,0.75,13.5,9,13,1,0,5,1.55555555555556,5,-4
"win","away",13,2,11,10,2,1,"yes","yes","yes",48,20,5,9,4,0,1,5,7,0.65,18.5,9,9,4,0,9,1.44444444444444,2.25,3
"loss","home",2,13,-11,1,0,1,"no","no","no",36,9,4,9,3,0,0,3,3,0.222222222222222,4.5,9,20,5,1,9,2.77777777777778,1.8,-10
"win","away",7,1,6,1,3,3,"yes","yes","yes",37,9,6,8,1,0,1,2,4,0.777777777777778,11,9,4,2,0,4,0.666666666666667,2,1
"loss","home",1,7,-6,0,0,1,"no","no","no",31,4,2,4,2,0,0,2,2,0.25,3,9,9,6,1,8,1.66666666666667,1.33333333333333,-6
"win","home",3,1,2,0,3,0,"yes","no","yes",29,6,5,5,0,0,0,0,0,0.5,5.5,9,11,3,0,10,1.55555555555556,3.33333333333333,6
"loss","away",1,3,-2,0,1,0,"no","no","no",38,11,3,10,0,0,0,0,0,0.0909090909090909,-1,8,6,5,0,5,1.375,1,-3
"loss","away",1,3,-2,0,1,0,"no","no","no",31,6,0,6,1,0,0,1,1,0.166666666666667,-1,8,11,0,0,6,1.375,6,3
"win","home",3,1,2,1,2,0,"yes","yes","yes",35,11,0,6,0,0,0,0,0,0.272727272727273,0,9,6,0,0,6,0.666666666666667,6,5
"win","away",7,2,5,3,1,3,"no","yes","yes",43,18,5,8,6,0,0,6,6,0.388888888888889,14,9,8,0,0,1,0.888888888888889,1,-1
"loss","home",2,7,-5,2,0,0,"no","no","no",35,8,0,1,1,1,0,2,3,0.25,3.5,9,18,5,0,8,2.55555555555556,1.6,-4
"loss","home",0,12,-12,0,0,0,"no","no","no",31,3,2,8,0,0,0,0,0,0,-2,9,15,5,0,10,2.22222222222222,2,-7
