"game_id","team","season","seq","date","stadium","opponent","is_home","runs_scored","runs_allowed","run_diff","win","home_away_label","result_label","run_diff_label","scoring_level","allowing_level","early_runs","middle_runs","late_runs","scored_first","led_after_3","led_after_6","game_flow_label","AB","H","BB","SO","double","triple","HR","extra_base_hits","power_score","run_per_hit","offense_pressure_score","offense_label","outs_pitched","innings_pitched","hits_allowed","bb_allowed","hr_allowed","so_pitched","whip_like","strikeout_walk_ratio","run_prevention_score","defense_label","model_predicted_result","model_win_probability","model_confidence_label","model_correct","model_prediction_type"
"CPBL-2024-xa-113","台鋼雄鷹","中職2024年",113,"2024-05-24 18:35","臺北大巨蛋","富邦悍將",FALSE,3,4,-1,FALSE,"客場","敗","小敗","中等得分","中等失分",0,1,2,TRUE,FALSE,FALSE,"被壓制型",31,6,5,9,0,0,1,1,3,0.5,4.5,"零星攻勢",25,8.33333333333333,8,2,0,4,1.2,2,-2,"普通防守","win",0.714737532672355,"中信心",FALSE,"模型判斷勝但實際敗"
"CPBL-2024-xa-113","富邦悍將","中職2024年",113,"2024-05-24 18:35","臺北大巨蛋","台鋼雄鷹",TRUE,4,3,1,TRUE,"主場","勝","小勝","中等得分","中等失分",0,1,3,FALSE,FALSE,FALSE,"後段逆轉型",31,8,2,4,1,0,0,1,1,0.5,5,"穩定攻擊",27,9,6,5,1,9,1.22222222222222,1.8,0,"穩定守成","win",0.849890520496697,"高信心",TRUE,"模型判斷勝且實際勝"
"CPBL-2024-xa-114","味全龍","中職2024年",114,"2024-05-24 18:35","樂天桃園棒球場","樂天桃猿",FALSE,5,4,1,TRUE,"客場","勝","小勝","中等得分","中等失分",3,2,0,TRUE,TRUE,TRUE,"全場壓制型",33,10,4,5,2,0,0,2,2,0.5,8.5,"穩定攻擊",27,9,6,2,2,5,0.888888888888889,2.5,-3,"普通防守","win",0.997770374698213,"高信心",TRUE,"模型判斷勝且實際勝"
"CPBL-2024-xa-114","樂天桃猿","中職2024年",114,"2024-05-24 18:35","樂天桃園棒球場","味全龍",TRUE,4,5,-1,FALSE,"主場","敗","小敗","中等得分","中等失分",0,4,0,FALSE,FALSE,FALSE,"被壓制型",32,6,2,5,0,0,2,2,6,0.666666666666667,5.5,"零星攻勢",27,9,10,4,0,5,1.55555555555556,1.25,-4,"失分偏高","loss",0.0764674395290187,"高信心",TRUE,"模型判斷敗且實際敗"
"CPBL-2024-xa-115","中信兄弟","中職2024年",115,"2024-05-24 18:36","臺南市立棒球場","統一7-ELEVEn獅",FALSE,14,4,10,TRUE,"客場","勝","大勝","高得分","中等失分",1,10,3,TRUE,TRUE,TRUE,"全場壓制型",43,17,6,6,4,1,3,8,15,0.823529411764706,25,"火力強勢",27,9,9,3,0,8,1.33333333333333,2.66666666666667,1,"穩定守成","win",0.999999464854211,"高信心",TRUE,"模型判斷勝且實際勝"
"CPBL-2024-xa-115","統一7-ELEVEn獅","中職2024年",115,"2024-05-24 18:36","臺南市立棒球場","中信兄弟",TRUE,4,14,-10,FALSE,"主場","敗","大敗","中等得分","高失分",0,3,1,FALSE,FALSE,FALSE,"被壓制型",33,9,3,8,0,0,0,0,0,0.444444444444444,3,"穩定攻擊",27,9,17,6,3,6,2.55555555555556,1,-17,"投打被突破","loss",1.43118830299403e-06,"高信心",TRUE,"模型判斷敗且實際敗"
"CPBL-2024-xa-116","台鋼雄鷹","中職2024年",116,"2024-05-25 17:05","臺北大巨蛋","富邦悍將",FALSE,3,2,1,TRUE,"客場","勝","小勝","中等得分","低失分",1,1,1,FALSE,FALSE,FALSE,"後段逆轉型",32,6,6,11,0,0,0,0,0,0.5,3.5,"零星攻勢",27,9,5,4,0,3,1,0.75,-3,"壓制力強","win",0.904393469043949,"高信心",TRUE,"模型判斷勝且實際勝"
"CPBL-2024-xa-116","富邦悍將","中職2024年",116,"2024-05-25 17:05","臺北大巨蛋","台鋼雄鷹",TRUE,2,3,-1,FALSE,"主場","敗","小敗","低得分","中等失分",2,0,0,FALSE,TRUE,FALSE,"拉鋸型",30,5,4,3,1,1,0,2,3,0.4,6.5,"低效進攻",27,9,6,6,0,11,1.33333333333333,1.83333333333333,2,"穩定守成","loss",0.0121153487165461,"高信心",TRUE,"模型判斷敗且實際敗"
"CPBL-2024-xa-117","味全龍","中職2024年",117,"2024-05-25 17:05","樂天桃園棒球場","樂天桃猿",FALSE,0,4,-4,FALSE,"客場","敗","小敗","低得分","中等失分",0,0,0,FALSE,FALSE,FALSE,"被壓制型",32,5,0,6,0,0,0,0,0,0,-3,"低效進攻",24,8,11,2,0,3,1.625,1.5,-3,"普通防守","loss",3.60112091831605e-06,"高信心",TRUE,"模型判斷敗且實際敗"
"CPBL-2024-xa-117","樂天桃猿","中職2024年",117,"2024-05-25 17:05","樂天桃園棒球場","味全龍",TRUE,4,0,4,TRUE,"主場","勝","小勝","中等得分","低失分",1,0,3,TRUE,TRUE,TRUE,"全場壓制型",29,11,2,3,0,0,0,0,0,0.363636363636364,4.5,"穩定攻擊",27,9,5,0,0,6,0.555555555555556,6,6,"壓制力強","win",0.999997717619609,"高信心",TRUE,"模型判斷勝且實際勝"
"CPBL-2024-xa-118","中信兄弟","中職2024年",118,"2024-05-25 17:00","臺南市立棒球場","統一7-ELEVEn獅",FALSE,4,1,3,TRUE,"客場","勝","小勝","中等得分","低失分",0,2,2,FALSE,FALSE,TRUE,"後段追分型",33,6,3,5,0,0,0,0,0,0.666666666666667,4.5,"零星攻勢",27,9,5,2,0,3,0.777777777777778,1.5,0,"壓制力強","win",0.99495557743769,"高信心",TRUE,"模型判斷勝且實際勝"
"CPBL-2024-xa-118","統一7-ELEVEn獅","中職2024年",118,"2024-05-25 17:00","臺南市立棒球場","中信兄弟",TRUE,1,4,-3,FALSE,"主場","敗","小敗","低得分","中等失分",1,0,0,TRUE,TRUE,FALSE,"拉鋸型",29,5,2,3,0,0,0,0,0,0.2,1.5,"低效進攻",27,9,6,3,0,5,1,1.66666666666667,-2,"普通防守","loss",0.247177690262694,"高信心",TRUE,"模型判斷敗且實際敗"
"CPBL-2024-xa-119","台鋼雄鷹","中職2024年",119,"2024-05-26 17:05","臺北大巨蛋","富邦悍將",FALSE,0,2,-2,FALSE,"客場","敗","小敗","低得分","低失分",0,0,0,FALSE,FALSE,FALSE,"被壓制型",29,3,2,10,0,0,0,0,0,0,-3,"攻勢受阻",24,8,5,2,0,3,0.875,1.5,-1,"壓制力強","loss",0.00129647018903914,"高信心",TRUE,"模型判斷敗且實際敗"
"CPBL-2024-xa-119","富邦悍將","中職2024年",119,"2024-05-26 17:05","臺北大巨蛋","台鋼雄鷹",TRUE,2,0,2,TRUE,"主場","勝","小勝","低得分","低失分",1,0,1,TRUE,TRUE,TRUE,"全場壓制型",27,5,2,3,0,1,0,1,2,0.4,3.5,"低效進攻",27,9,3,2,0,10,0.555555555555556,5,8,"壓制力強","win",0.998307937768298,"高信心",TRUE,"模型判斷勝且實際勝"
"CPBL-2024-xa-12","台鋼雄鷹","中職2024年",12,"2024-04-05 16:42","澄清湖棒球場","富邦悍將",TRUE,4,0,4,TRUE,"主場","勝","小勝","中等得分","低失分",4,0,0,TRUE,TRUE,TRUE,"全場壓制型",30,8,3,8,0,1,2,3,8,0.5,6,"穩定攻擊",27,9,7,2,0,9,1,4.5,7,"壓制力強","win",0.992177567816501,"高信心",TRUE,"模型判斷勝且實際勝"
"CPBL-2024-xa-12","富邦悍將","中職2024年",12,"2024-04-05 16:42","澄清湖棒球場","台鋼雄鷹",FALSE,0,4,-4,FALSE,"客場","敗","小敗","低得分","中等失分",0,0,0,FALSE,FALSE,FALSE,"被壓制型",35,7,2,9,2,0,0,2,2,0,-0.5,"攻勢受阻",24,8,8,3,2,8,1.375,2.66666666666667,-1,"普通防守","loss",3.46781536688362e-07,"高信心",TRUE,"模型判斷敗且實際敗"
"CPBL-2024-xa-120","味全龍","中職2024年",120,"2024-05-26 17:05","樂天桃園棒球場","樂天桃猿",FALSE,4,5,-1,FALSE,"客場","敗","小敗","中等得分","中等失分",0,2,2,TRUE,FALSE,FALSE,"被壓制型",30,7,7,5,2,0,1,3,5,0.571428571428571,11.5,"零星攻勢",24,8,10,0,1,4,1.25,4,-2,"失分偏高","win",0.530522167193065,"低信心",FALSE,"模型判斷勝但實際敗"
